Player,Team,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Patrick Mahomes,KC,581,379.5,"4,778.80",36,13.3,52.5,219.6,1.9,2,337.9
Deshaun Watson,HOU,509.7,336.8,"4,061.60",26.4,12,95.3,552.6,4.4,2.7,320.2
Aaron Rodgers,GB,596.2,378.4,"4,313.10",29.8,7.6,46.3,260.4,2.1,2.1,310.6
Andrew Luck,IND,592.3,389.4,"4,421.30",32.7,14.1,51.6,216.3,1.4,2.5,304.3
Matt Ryan,ATL,585.5,394.9,"4,634.30",30,10.6,48.2,132.6,1.5,2,302.2
Cam Newton,CAR,514.8,336.2,"3,774.00",24.4,13.7,113.2,546.3,4.4,1.7,298.8
Drew Brees,NO,538.3,386.9,"4,336.10",30.4,8.8,24.8,40.2,1.9,1.6,290
Jameis Winston,TB,561,356.5,"4,431.10",27.7,16.3,57.2,277,1.6,2.7,287.6
Jared Goff,LAR,551,352.2,"4,377.10",30.5,11.7,31.1,102.8,1.2,2.2,286.6
Dak Prescott,DAL,522.1,344.3,"3,856.80",23.6,10.7,68,311.2,5.3,2.3,285.6
Baker Mayfield,CLE,564.7,362.7,"4,325.60",30.7,14.6,47,181.2,0.9,2.4,285.2
Lamar Jackson,BAL,431.7,256.1,"2,987.80",17.1,10.7,175.2,898.4,6.4,4.9,285
Carson Wentz,PHI,568.4,376.3,"4,234.70",30.1,12.3,52.3,192,1,2.6,284.8
Ben Roethlisberger,PIT,619.3,406,"4,637.70",29.4,15.2,23.3,75.3,1.2,1.8,284.1
Russell Wilson,SEA,453.5,292.4,"3,565.30",27.8,9.5,73.3,381.5,2,2.1,281.1
Tom Brady,NE,580.3,379.9,"4,353.80",28.9,10.7,21,38.8,1,1.5,275.6
Kirk Cousins,MIN,578.4,397.8,"4,182.30",27.4,12.1,38.5,134.1,1.9,2.4,272.4
Mitch Trubisky,CHI,511.5,332.8,"3,762.50",25.1,13.2,65.7,377.7,2.4,2.5,271.7
Kyler Murray,ARI,541.1,335,"3,717.90",21.8,14.3,107,506.7,3.1,3.2,270.4
Philip Rivers,LAC,546,359.9,"4,363.40",29.7,12.2,13.5,25.2,0.2,1.4,269.8
Josh Allen,BUF,479.9,271,"3,211.40",17.4,14.4,103.6,657.7,6.3,2.9,266.9
Jimmy Garoppolo,SF,519.2,334.1,"4,074.10",25.2,14.1,37.7,122.4,1.3,2.1,250.9
Matthew Stafford,DET,559.7,368.9,"3,971.10",24.2,11.5,28.9,78.5,0.7,1.7,241.2
Derek Carr,OAK,570.6,379.6,"4,099.00",23.8,12.2,24.5,68.7,0.6,2.1,241.1
Andy Dalton,CIN,533.6,331.2,"3,686.50",24.1,13.6,32.9,119.9,0.9,1.7,230.4
Sam Darnold,NYJ,530.5,320.2,"3,650.30",22.5,15.8,48,188,1.6,2.3,227.9
Marcus Mariota,TEN,446.9,294,"3,269.20",18.3,12.6,70.4,358.8,2.6,2.4,225.7
Nick Foles,JAC,532.1,338.8,"3,779.00",21.6,13.3,33.1,76.5,0.9,2,220.1
Eli Manning,NYG,490.4,309.9,"3,343.10",18.8,10.5,20.4,49.9,1,2.5,193.9
Joe Flacco,DEN,476.1,292.7,"3,240.50",17.8,11.7,24.2,92.4,0.9,1.3,189.5
Ryan Fitzpatrick,MIA,307.4,192.4,"2,577.00",15.6,11.3,30.3,188.5,1.6,1,169.1
Dwayne Haskins,WAS,348.2,213.6,"2,386.80",12.5,10.3,15.3,54.1,0.5,1.3,130.2
Case Keenum,WAS,151.8,91.8,"1,242.40",7,5.4,12,55.5,0.5,0.6,74.6
Josh Rosen,MIA,211.1,128.8,"1,261.50",6.3,5.9,14.5,59.3,0.3,1.5,69
Daniel Jones,NYG,94.6,58.8,771.3,4.1,3.3,6.1,34.7,0.3,0.7,44.4
Drew Lock,DEN,104.5,64.6,732.3,3.9,3,8.8,37.4,0.3,0.4,43.3
Taysom Hill,NO,9.5,5.9,118.9,0.5,0.5,35.1,143,1.1,0.5,25.7
Colt McCoy,WAS,60,37.7,436,2.4,1.6,4.2,12.5,0.1,1.4,22.7
C.J. Beathard,SF,46.3,27.3,318.7,1.7,1.3,2.7,8.7,0,0,17.6
Ryan Tannehill,TEN,35.3,21.9,280.8,1.5,1.5,3.9,14.6,0.1,0.1,15.9
Nate Sudfeld,PHI,31.7,18.9,220.6,1.7,1.1,2.5,10.5,0,0.1,14.6
Blaine Gabbert,TB,33.4,20.2,234.4,1.5,1,2,9.3,0.1,0.1,14.4
Gardner Minshew,JAC,37.5,22,269.2,1.3,1.5,2,6.3,0.1,0.1,13.7
Will Grier,CAR,33.3,21.4,252.3,1.2,1,1.8,3.9,0.1,0.1,13.6
Jacoby Brissett,IND,29.5,18.4,206.4,1.4,0.8,2.3,8.3,0,0.1,13.1
Nick Mullens,SF,31.3,19.7,230.5,1.2,1,2.2,2.2,0,0.1,12.1
Jeff Driskel,CIN,22.2,12.9,184.2,1,0.8,3.3,17.4,0.1,0.1,12
Chase Daniel,CHI,26.9,16.7,194.6,1.2,0.8,2.7,7.2,0,0.1,11.8
Blake Bortles,LAR,20.3,12.3,178.5,0.9,0.6,3.4,14.1,0.1,0.1,11.6
Robert Griffin,BAL,23.4,14.4,180.1,1,0.8,3.1,11,0.1,0.1,11.1
Brett Hundley,ARI,27.1,16,178.7,0.9,0.7,2,9.3,0.1,0.1,10.2
Teddy Bridgewater,NO,21.6,13.3,160.2,1,0.5,2.8,5.3,0,0,9.8
Trevor Siemian,NYJ,26,15.6,182.1,0.9,1,2.1,6.9,0.1,0,9.7
Matt Barkley,BUF,24.8,15.1,186,0.9,1,2.5,3.8,0,0.1,9.5
Paxton Lynch,SEA,20.6,12.2,165.1,0.9,0.9,1.8,5.2,0.1,0.1,9.3
Tyrod Taylor,LAC,17.6,10.8,128.9,0.7,0.6,2.6,10.3,0.1,0,8.4
Joshua Dobbs,PIT,21.3,13.1,130,0.8,0.7,2.3,9.7,0,0,8.2
Cooper Rush,DAL,20,12.3,130.7,0.6,0.3,1.6,7.7,0,0,8
Ryan Finley,CIN,22.5,13.3,151.1,0.8,0.8,0.5,2.1,0,0.2,7.9
Brian Hoyer,NE,18.1,11,138.2,0.7,0.7,2.6,4.3,0.1,0.1,7.5
Chad Henne,KC,16.5,10.5,126.3,0.6,0.2,1.9,2.8,0,0,7.3
DeShone Kizer,GB,18.5,11,134.4,0.5,0.8,2,9.1,0.1,0.1,7.2
Drew Stanton,CLE,18.1,10.7,141,0.6,0.8,1.8,6.5,0,0,7.2
Taylor Heinicke,CAR,18.6,12.2,125.1,0.5,0.6,1.6,7,0.1,0,6.9
Mike Glennon,OAK,19.2,12.3,142,0.7,0.5,1.6,1.6,0,0.5,6.5
AJ McCarron,HOU,15.2,9.5,109.9,0.7,0.4,1.7,2.8,0,0.1,6.3
Matt Schaub,ATL,16,10.1,101.6,0.5,0.3,1.2,3.1,0,0.1,5.9
Trace McSorley,BAL,3.9,2.2,26.2,0.1,0.1,6.6,33.3,0.2,0.1,5.8
Sean Mannion,MIN,13.6,8.3,92.8,0.3,0.1,2.3,4.6,0.1,0.1,5.2
Tom Savage,DET,11.7,7.2,118.9,0.5,0.6,1.4,1.4,0,0.4,5.2
Geno Smith,SEA,5.7,4,46.3,0.3,0,1.7,5.3,0,0.5,2.7
Cody Kessler,PHI,2.5,1.6,16.6,0.1,0,0.2,0.9,0,0.1,1.2
Tyler Bray,CHI,0,0,0,0,0,0,0,0,0,0
Kyle Allen,CAR,0,0,0,0,0,0,0,0,0,0
Tyree Jackson,BUF,0,0,0,0,0,0,0,0,0,0
Mason Rudolph,PIT,0,0,0,0,0,0,0,0,0,0
Jarrett Stidham,NE,0,0,0,0,0,0,0,0,0,0
Chad Kelly,IND,0,0,0,0,0,0,0,0,0,0
Cardale Jones,LAC,0,0,0,0,0,0,0,0,0,0
Joe Webb,HOU,0,0,0,0,0,0,0,0,0,0
Jake Rudock,MIA,0,0,0,0,0,0,0,0,0,0
Brett Rypien,DEN,0,0,0,0,0,0,0,0,0,0
David Fales,DET,0,0,0,0,0,0,0,0,0,0
Davis Webb,NYJ,0,0,0,0,0,0,0,0,0,0
Kevin Hogan,DEN,0,0,0,0,0,0,0,0,0,0
Easton Stick,LAC,0,0,0,0,0,0,0,0,0,0
Nick Fitzgerald,TB,0,0,0,0,0,0,0,0,0,0
Kyle Lauletta,NYG,0,0,0,0,0,0,0,0,0,0
Clayton Thorson,PHI,0,0,0,0,0,0,0,0,0,0
Logan Woodside,TEN,0,0,0,0,0,0,0,0,0,0
Josh Johnson,DET,0,0,0,0,0,0,0,0,0,0
Luke Falk,NYJ,0,0,0,0,0,0,0,0,0,0
Mike White,DAL,0,0,0,0,0,0,0,0,0,0
Tim Boyle,GB,0,0,0,0,0,0,0,0,0,0
Alex Tanney,NYG,0,0,0,0,0,0,0,0,0,0
Alex McGough,JAC,0,0,0,0,0,0,0,0,0,0
Kyle Sloter,MIN,0,0,0,0,0,0,0,0,0,0
Joe Callahan,BAL,0,0,0,0,0,0,0,0,0,0
Nathan Peterman,OAK,0,0,0,0,0,0,0,0,0,0
Garrett Gilbert,CLE,0,0,0,0,0,0,0,0,0,0
Brandon Allen,LAR,0,0,0,0,0,0,0,0,0,0
Tanner Lee,JAC,0,0,0,0,0,0,0,0,0,0
Ryan Griffin,TB,0,0,0,0,0,0,0,0,0,0
